platform,software_a,software_b,tipo_evento,caso_uso_resumido,titulo_pagina,slug_url,descricao_curta,zap_template_url,passos_resumo,tags
zapier,Facebook Lead Ads,WhatsApp Business,Lead,Envio imediato de leads para WhatsApp,Como enviar automaticamente leads do Facebook Ads para WhatsApp usando Zapier,facebook-ads-para-whatsapp-business-zapier,Capture leads do Facebook e envie para WhatsApp Business automaticamente. Workflow pronto em minutos com Zapier. Ideal para vendas.,https://zapier.com/apps/facebook-lead-ads/integrations/whatsapp,Trigger Facebook Lead Ads|Formatar telefone|Enviar mensagem WhatsApp|Confirmar entrega,"marketing,vendas,whatsapp,zapier"
zapier,Typeform,Google Sheets,Formulário,Backup automático de respostas,Como salvar respostas do Typeform no Google Sheets usando Zapier,typeform-para-google-sheets-zapier,Sincronize automaticamente todas as respostas do Typeform com Google Sheets usando Zapier. Backup em tempo real.,https://zapier.com/apps/typeform/integrations/google-sheets,New Typeform Entry|Format Data|Add Row to Sheets|Send Confirmation,"formularios,dados,zapier"
zapier,Typeform,HubSpot,Lead,Captura de leads qualificados,Como enviar leads do Typeform para HubSpot usando Zapier,typeform-para-hubspot-zapier,Conecte formulários do Typeform ao CRM HubSpot automaticamente. Qualifique e nutra leads com Zapier.,https://zapier.com/apps/typeform/integrations/hubspot,Trigger Typeform|Score Lead|Create/Update Contact HubSpot|Add to Sequence,"marketing,crm,hubspot,zapier"
zapier,Typeform,Pipedrive,Lead,Automação de funil de vendas,Como criar deals no Pipedrive a partir do Typeform usando Zapier,typeform-para-pipedrive-zapier,Transforme respostas do Typeform em negócios no Pipedrive automaticamente com Zapier. Acelere vendas.,https://zapier.com/apps/typeform/integrations/pipedrive,New Typeform Entry|Qualify Lead|Create Person|Create Deal|Assign Owner,"crm,vendas,pipedrive,zapier"
zapier,Typeform,RD Station,Lead,Nutrição de leads,Como enviar leads do Typeform para RD Station usando Zapier,typeform-para-rd-station-zapier,Integre formulários Typeform com RD Station via Zapier. Automatize captura e nutrição de leads.,https://zapier.com/apps/typeform/integrations/rd-station,Trigger Typeform|Map Fields|Send Conversion Event|Tag Contact,"marketing,crm,rd-station,zapier"
zapier,Google Forms,Google Sheets,Formulário,Registro automático de respostas,Como salvar respostas do Google Forms no Sheets usando Zapier,google-forms-para-google-sheets-zapier,Automatize o backup de respostas do Google Forms para Sheets com Zapier. Análise de dados facilitada.,https://zapier.com/apps/google-forms/integrations/google-sheets,New Form Response|Format Data|Append to Sheet|Send Notification,"formularios,dados,google,zapier"
zapier,Google Forms,HubSpot,Lead,Captura de leads do Google,Como enviar respostas do Google Forms para HubSpot usando Zapier,google-forms-para-hubspot-zapier,Conecte Google Forms ao HubSpot com Zapier. Capture leads sem fricção e qualifique automaticamente.,https://zapier.com/apps/google-forms/integrations/hubspot,Trigger Google Forms|Extract Data|Create Contact|Set Lifecycle Stage,"marketing,crm,hubspot,google,zapier"
zapier,Google Forms,Slack,Notificação,Alertas de novas respostas,Como notificar equipe no Slack sobre Google Forms usando Zapier,google-forms-para-slack-zapier,Receba alertas no Slack para cada nova resposta do Google Forms. Agilize atendimento com Zapier.,https://zapier.com/apps/google-forms/integrations/slack,New Response|Format Message|Post to Channel|Mention Team,"comunicacao,formularios,slack,zapier"
zapier,Google Forms,Trello,Gestão,Criação de cards por formulário,Como criar cards no Trello a partir do Google Forms usando Zapier,google-forms-para-trello-zapier,Transforme respostas do Google Forms em cards do Trello automaticamente. Organize demandas com Zapier.,https://zapier.com/apps/google-forms/integrations/trello,Trigger Form|Map Fields|Create Card|Assign Members|Set Due Date,"gestao,formularios,trello,zapier"
zapier,Jotform,Salesforce,Lead,Sincronização de leads,Como enviar leads do Jotform para Salesforce usando Zapier,jotform-para-salesforce-zapier,Integre Jotform com Salesforce via Zapier. Capture e qualifique leads automaticamente no CRM líder.,https://zapier.com/apps/jotform/integrations/salesforce,New Submission|Validate Data|Create/Update Lead|Assign to Queue,"crm,vendas,salesforce,zapier"
zapier,Jotform,Mailchimp,Email,Adição de contatos à lista,Como adicionar contatos do Jotform no Mailchimp usando Zapier,jotform-para-mailchimp-zapier,Sincronize formulários Jotform com listas do Mailchimp automaticamente. Cresça sua base com Zapier.,https://zapier.com/apps/jotform/integrations/mailchimp,Trigger Jotform|Check Opt-in|Add to Audience|Apply Tags,"marketing,email,mailchimp,zapier"
zapier,Shopify,Google Sheets,Venda,Backup de pedidos,Como salvar pedidos do Shopify no Google Sheets usando Zapier,shopify-para-google-sheets-zapier,Automatize registro de vendas do Shopify em planilhas com Zapier. Análise de dados facilitada.,https://zapier.com/apps/shopify/integrations/google-sheets,New Order|Extract Items|Append to Sheet|Calculate Totals,"ecommerce,shopify,dados,zapier"
zapier,Shopify,Slack,Notificação,Alertas de novas vendas,Como notificar vendas do Shopify no Slack usando Zapier,shopify-para-slack-novas-vendas-zapier,Receba alertas no Slack para cada venda do Shopify. Comemore resultados com seu time via Zapier.,https://zapier.com/apps/shopify/integrations/slack,New Order|Format Message|Post to Channel|Add Emoji,"ecommerce,shopify,slack,zapier"
zapier,Shopify,Mailchimp,Email,Follow-up pós-compra,Como enviar emails pós-compra Shopify via Mailchimp usando Zapier,shopify-para-mailchimp-pos-compra-zapier,Automatize follow-up de clientes Shopify com Mailchimp e Zapier. Aumente retenção e vendas recorrentes.,https://zapier.com/apps/shopify/integrations/mailchimp,New Order|Add to Audience|Trigger Automation|Tag as Customer,"ecommerce,shopify,email,zapier"
zapier,Shopify,HubSpot,CRM,Sincronização de clientes,Como sincronizar clientes Shopify com HubSpot usando Zapier,shopify-para-hubspot-clientes-zapier,Integre Shopify com HubSpot via Zapier. Unifique dados de e-commerce e CRM para marketing eficaz.,https://zapier.com/apps/shopify/integrations/hubspot,New Customer|Create/Update Contact|Log Deal|Set Properties,"ecommerce,shopify,crm,hubspot,zapier"
zapier,Shopify,Trello,Fulfillment,Gestão de pedidos,Como criar cards no Trello para pedidos Shopify usando Zapier,shopify-para-trello-gestao-pedidos-zapier,Transforme pedidos do Shopify em cards do Trello automaticamente. Organize fulfillment com Zapier.,https://zapier.com/apps/shopify/integrations/trello,New Order|Create Card|Add Checklist|Set Due Date,"ecommerce,shopify,gestao,trello,zapier"
zapier,WooCommerce,Google Sheets,Venda,Relatório de vendas,Como registrar vendas WooCommerce no Google Sheets usando Zapier,woocommerce-para-google-sheets-zapier,Automatize relatórios de vendas WooCommerce em Sheets com Zapier. Dashboard em tempo real.,https://zapier.com/apps/woocommerce/integrations/google-sheets,New Order|Format Data|Append Row|Update Totals,"ecommerce,woocommerce,dados,zapier"
zapier,WooCommerce,Slack,Notificação,Alertas de vendas,Como notificar vendas WooCommerce no Slack usando Zapier,woocommerce-para-slack-vendas-zapier,Receba notificações no Slack para vendas WooCommerce. Acompanhe resultados em tempo real com Zapier.,https://zapier.com/apps/woocommerce/integrations/slack,New Order|Format Message|Send to Channel|Add Reaction,"ecommerce,woocommerce,slack,zapier"
zapier,WooCommerce,Mailchimp,Email,Email marketing pós-venda,Como enviar emails WooCommerce via Mailchimp usando Zapier,woocommerce-para-mailchimp-zapier,Automatize campanhas pós-venda WooCommerce com Mailchimp e Zapier. Maximize lifetime value.,https://zapier.com/apps/woocommerce/integrations/mailchimp,New Order|Add to List|Tag Customer|Trigger Campaign,"ecommerce,woocommerce,email,zapier"
zapier,WooCommerce,Trello,Gestão,Kanban de pedidos,Como gerenciar pedidos WooCommerce no Trello usando Zapier,woocommerce-para-trello-zapier,Crie cards no Trello para cada pedido WooCommerce. Organize fulfillment visualmente com Zapier.,https://zapier.com/apps/woocommerce/integrations/trello,New Order|Create Card|Add Details|Move to List,"ecommerce,woocommerce,gestao,trello,zapier"
zapier,WooCommerce,HubSpot,CRM,Unificação de dados,Como sincronizar clientes WooCommerce com HubSpot usando Zapier,woocommerce-para-hubspot-zapier,Integre WooCommerce com HubSpot via Zapier. Unifique e-commerce e CRM para estratégias personalizadas.,https://zapier.com/apps/woocommerce/integrations/hubspot,New Customer|Create Contact|Log Purchase|Update Properties,"ecommerce,woocommerce,crm,hubspot,zapier"
zapier,Stripe,Gmail,Pagamento,Notificação de pagamento falho,Como enviar email via Gmail para pagamentos Stripe falhados usando Zapier,stripe-para-gmail-pagamento-falho-zapier,Automatize alertas de pagamentos falhados no Stripe via Gmail com Zapier. Recupere receita rapidamente.,https://zapier.com/apps/stripe/integrations/gmail,Payment Failed|Get Customer Info|Compose Email|Send via Gmail,"pagamentos,stripe,email,zapier"
zapier,Stripe,Slack,Pagamento,Alertas de cobrança,Como notificar pagamentos Stripe no Slack usando Zapier,stripe-para-slack-pagamentos-zapier,Receba notificações no Slack para eventos de pagamento Stripe. Monitore receita em tempo real com Zapier.,https://zapier.com/apps/stripe/integrations/slack,New Payment|Format Message|Post to Channel|Track MRR,"pagamentos,stripe,slack,zapier"
zapier,Stripe,Google Sheets,Pagamento,Relatório financeiro,Como registrar pagamentos Stripe no Google Sheets usando Zapier,stripe-para-google-sheets-zapier,Automatize relatórios financeiros com dados Stripe em Sheets. Análise de receita facilitada via Zapier.,https://zapier.com/apps/stripe/integrations/google-sheets,New Payment|Extract Data|Append to Sheet|Calculate Metrics,"pagamentos,stripe,dados,zapier"
zapier,Stripe,HubSpot,Pagamento,Atualização de deals,Como atualizar deals HubSpot com pagamentos Stripe usando Zapier,stripe-para-hubspot-zapier,Sincronize pagamentos Stripe com deals HubSpot via Zapier. Unifique vendas e financeiro automaticamente.,https://zapier.com/apps/stripe/integrations/hubspot,Payment Succeeded|Find Deal|Update Stage|Log Activity,"pagamentos,stripe,crm,hubspot,zapier"
zapier,Stripe,Mailchimp,Pagamento,Segmentação por compra,Como segmentar clientes Stripe no Mailchimp usando Zapier,stripe-para-mailchimp-zapier,Adicione clientes Stripe em segmentos Mailchimp automaticamente. Personalize campanhas via Zapier.,https://zapier.com/apps/stripe/integrations/mailchimp,New Customer|Add to Audience|Tag by Plan|Trigger Welcome,"pagamentos,stripe,email,mailchimp,zapier"
zapier,Gmail,Trello,Email,Criação de cards por email,Como criar cards Trello a partir de emails Gmail usando Zapier,gmail-para-trello-zapier,Transforme emails Gmail em cards Trello automaticamente. Organize demandas por email com Zapier.,https://zapier.com/apps/gmail/integrations/trello,New Email (Label)|Extract Info|Create Card|Assign Member,"comunicacao,email,trello,zapier"
zapier,Gmail,Slack,Email,Encaminhamento de emails,Como encaminhar emails Gmail para Slack usando Zapier,gmail-para-slack-zapier,Receba notificações no Slack para emails importantes do Gmail. Centralize comunicação com Zapier.,https://zapier.com/apps/gmail/integrations/slack,New Email (Label)|Format Message|Post to Channel|Add Thread,"comunicacao,email,slack,zapier"
zapier,Gmail,Google Sheets,Email,Registro de emails,Como registrar emails Gmail no Google Sheets usando Zapier,gmail-para-google-sheets-zapier,Automatize log de emails Gmail em planilhas com Zapier. Análise de comunicação facilitada.,https://zapier.com/apps/gmail/integrations/google-sheets,New Email (Label)|Extract Data|Append Row|Archive Email,"comunicacao,email,dados,zapier"
zapier,Gmail,HubSpot,Email,Registro de comunicação,Como registrar emails Gmail no HubSpot usando Zapier,gmail-para-hubspot-email-zapier,Sincronize emails Gmail com timeline HubSpot via Zapier. Histórico completo de comunicação no CRM.,https://zapier.com/apps/gmail/integrations/hubspot,New Email|Find Contact|Log Activity|Add Note,"comunicacao,email,crm,hubspot,zapier"
zapier,Calendly,Zoom,Agendamento,Criação automática de reuniões,Como criar reuniões Zoom para agendamentos Calendly usando Zapier,calendly-para-zoom-reunioes-zapier,Automatize criação de links Zoom para eventos Calendly. Integração perfeita via Zapier.,https://zapier.com/apps/calendly/integrations/zoom,New Invitee|Create Zoom Meeting|Update Calendly Event|Send Confirmation,"agendamento,zoom,calendly,zapier"
zapier,Calendly,Google Calendar,Agendamento,Sincronização de eventos,Como sincronizar Calendly com Google Calendar usando Zapier,calendly-para-google-calendar-zapier,Mantenha Calendly e Google Calendar sincronizados automaticamente com Zapier. Evite conflitos de horário.,https://zapier.com/apps/calendly/integrations/google-calendar,New Event|Create GCal Event|Add Attendees|Set Reminder,"agendamento,calendario,google,zapier"
zapier,Calendly,Slack,Agendamento,Notificação de reuniões,Como notificar agendamentos Calendly no Slack usando Zapier,calendly-para-slack-zapier,Receba alertas no Slack para novos agendamentos Calendly. Prepare-se para reuniões com Zapier.,https://zapier.com/apps/calendly/integrations/slack,New Invitee|Format Details|Post to Channel|Mention User,"agendamento,slack,calendly,zapier"
zapier,Calendly,HubSpot,Agendamento,Registro de reuniões,Como registrar reuniões Calendly no HubSpot usando Zapier,calendly-para-hubspot-zapier,Sincronize agendamentos Calendly com CRM HubSpot via Zapier. Timeline completa de interações.,https://zapier.com/apps/calendly/integrations/hubspot,New Invitee|Find Contact|Create Meeting|Update Deal Stage,"agendamento,crm,hubspot,calendly,zapier"
zapier,Calendly,Salesforce,Agendamento,Log de eventos,Como registrar eventos Calendly no Salesforce usando Zapier,calendly-para-salesforce-zapier,Automatize registro de reuniões Calendly no Salesforce. Histórico completo no CRM líder via Zapier.,https://zapier.com/apps/calendly/integrations/salesforce,New Event|Find Lead/Contact|Create Event|Update Fields,"agendamento,crm,salesforce,calendly,zapier"
zapier,Slack,Trello,Mensagem,Criação de tasks por reação,Como criar cards Trello a partir de reações Slack usando Zapier,slack-para-trello-zapier,Transforme mensagens Slack em cards Trello com reação emoji. Organize demandas com Zapier.,https://zapier.com/apps/slack/integrations/trello,New Reaction Added|Get Message|Create Card|Link Thread,"comunicacao,slack,gestao,trello,zapier"
zapier,Slack,Google Sheets,Mensagem,Registro de mensagens,Como registrar mensagens Slack no Google Sheets usando Zapier,slack-para-google-sheets-zapier,Automatize backup de mensagens importantes do Slack em Sheets. Auditoria facilitada via Zapier.,https://zapier.com/apps/slack/integrations/google-sheets,New Message (Channel)|Extract Data|Append Row|Format Time,"comunicacao,slack,dados,zapier"
zapier,Slack,Gmail,Mensagem,Encaminhamento por email,Como enviar mensagens Slack via Gmail usando Zapier,slack-para-gmail-zapier,Encaminhe mensagens importantes do Slack por email automaticamente. Alcance quem não usa Slack com Zapier.,https://zapier.com/apps/slack/integrations/gmail,New Message (Saved)|Format Email|Send via Gmail|Mark as Sent,"comunicacao,slack,email,zapier"
zapier,Slack,HubSpot,Mensagem,Criação de tickets,Como criar tickets HubSpot a partir do Slack usando Zapier,slack-para-hubspot-tickets-zapier,Transforme mensagens Slack em tickets HubSpot automaticamente. Suporte organizado via Zapier.,https://zapier.com/apps/slack/integrations/hubspot,New Message (Keyword)|Parse Content|Create Ticket|Assign Owner,"comunicacao,slack,suporte,hubspot,zapier"
zapier,Jira,Slack,Issue,Notificação de bugs críticos,Como notificar bugs críticos Jira no Slack usando Zapier,jira-para-slack-bugs-criticos-zapier,Receba alertas no Slack para bugs críticos do Jira. Resposta rápida via Zapier.,https://zapier.com/apps/jira/integrations/slack,New Issue (Priority)|Format Message|Post to Channel|Mention Team,"desenvolvimento,jira,slack,zapier"
zapier,Jira,Trello,Issue,Sincronização de tasks,Como sincronizar issues Jira com Trello usando Zapier,jira-para-trello-zapier,Mantenha Jira e Trello sincronizados automaticamente. Gestão unificada via Zapier.,https://zapier.com/apps/jira/integrations/trello,New/Updated Issue|Create/Update Card|Sync Status|Add Comments,"desenvolvimento,jira,trello,zapier"
zapier,Jira,Google Sheets,Issue,Relatório de bugs,Como registrar issues Jira no Google Sheets usando Zapier,jira-para-google-sheets-zapier,Automatize relatórios de bugs Jira em planilhas. Análise de qualidade facilitada via Zapier.,https://zapier.com/apps/jira/integrations/google-sheets,New Issue|Extract Fields|Append to Sheet|Calculate Metrics,"desenvolvimento,jira,dados,zapier"
zapier,Trello,Slack,Card,Notificação de atualizações,Como notificar atualizações Trello no Slack usando Zapier,trello-para-slack-zapier,Receba alertas no Slack para mudanças em cards Trello. Transparência total via Zapier.,https://zapier.com/apps/trello/integrations/slack,Card Moved|Format Update|Post to Channel|Add Link,"gestao,trello,slack,zapier"
zapier,Trello,Google Calendar,Card,Sincronização de prazos,Como sincronizar cards Trello com Google Calendar usando Zapier,trello-para-google-calendar-zapier,Adicione prazos de cards Trello ao Google Calendar automaticamente. Nunca perca deadlines via Zapier.,https://zapier.com/apps/trello/integrations/google-calendar,Card with Due Date|Create Event|Set Reminder|Update Card,"gestao,trello,calendario,zapier"
zapier,Trello,Gmail,Card,Notificação por email,Como enviar emails sobre cards Trello usando Zapier,trello-para-gmail-zapier,Notifique stakeholders sobre atualizações Trello via email. Alcance todos com Zapier.,https://zapier.com/apps/trello/integrations/gmail,Card Assigned|Format Email|Send via Gmail|Add Label,"gestao,trello,email,zapier"
zapier,Asana,Slack,Task,Alertas de tarefas,Como notificar tarefas Asana no Slack usando Zapier,asana-para-slack-zapier,Receba notificações no Slack para tarefas Asana. Mantenha equipe alinhada via Zapier.,https://zapier.com/apps/asana/integrations/slack,New/Updated Task|Format Message|Post to Channel|Thread Updates,"gestao,asana,slack,zapier"
zapier,Asana,Google Calendar,Task,Sincronização de prazos,Como sincronizar Asana com Google Calendar usando Zapier,asana-para-google-calendar-zapier,Adicione tarefas Asana ao Google Calendar automaticamente. Visão completa de compromissos via Zapier.,https://zapier.com/apps/asana/integrations/google-calendar,Task with Due Date|Create Event|Set Reminder|Sync Changes,"gestao,asana,calendario,zapier"
zapier,Asana,Trello,Task,Sincronização cross-platform,Como sincronizar Asana com Trello usando Zapier,asana-para-trello-zapier,Mantenha Asana e Trello sincronizados bidirecionalmente. Trabalhe com qualquer ferramenta via Zapier.,https://zapier.com/apps/asana/integrations/trello,New/Updated Task|Create/Update Card|Sync Status|Mirror Changes,"gestao,asana,trello,zapier"
